node,lan,text
Q2277,en,Roman Empire
Q184332,en,Council of Ephesus
Q170531,en,Council of Chalcedon
Q1074596,en,Our Lady of La Salette
Q361,en,World War I
Q362,en,World War II
Q1173,en,Burgundy
Q1750892,en,Sack of Constantinople
Q830626,en,Battle of Bouvines
Q11772,en,Ancient Greece
Q595545,en,Rákóczi's War of Independence
Q830917,en,2010 European Aquatics Championships
Q2822795,en,Schengen Agreement
Q160056,en,Pan-European Picnic
Q192924,en,Treaty of Saint-Germain-en-Laye (1919)
Q154681,en,Anschluss
Q207889,en,Eurovision Song Contest 1966
Q5354210,en,Eurovision Song Contest 2014
Q190315,en,Dayton Agreement
Q79859,en,2014 FIFA World Cup
Q831336,en,Vinča culture
Q101751,en,1994 FIFA World Cup
Q249365,en,1987 World Championships in Athletics
Q8080,en,1896 Summer Olympics
Q9600,en,1936 Winter Olympics
Q212234,en,Treaty of Roskilde
Q203968,en,Eurovision Song Contest 1963
Q11113,en,Eurovision Song Contest 2000
Q10162,en,Eurovision Song Contest 2013
Q130796,en,Molotov–Ribbentrop Pact
Q473716,en,Hungarian Revolution of 1848
Q221901,en,Aurignacian
Q756905,en,Gravettian
Q150812,en,Invasion of Poland
Q162401,en,Prague Spring
Q188548,en,UEFA Euro 1976
Q8676,en,American Civil War
Q127912,en,United States Declaration of Independence
Q173077,en,Battle of Tours
Q26013,en,War of 1812
Q919739,en,Battle of Schwechat
Q8663,en,Korean War
Q873062,en,Sopron plebiscite
Q139808,en,Battle of the Catalaunian Plains
Q1179,en,Aquitaine
Q1142,en,Alsace
Q167457,en,Treaty of Rome
Q1486433,en,1763 Komárom earthquake
Q164348,en,Hungarian Revolution of 1956
Q178510,en,Battle of Mohács
Q181902,en,Treaty of Trianon
Q8150,en,1936 Summer Olympics
Q8407,en,1952 Summer Olympics
Q482577,en,2004 European Women's Handball Championship
Q4218,en,Hungarian conquest of the Carpathian Basin
Q609836,en,Portuguese Colonial War
Q8736,en,Treaty of Versailles
Q151187,en,Potsdam Conference
Q5167679,en,Dissolution of the Soviet Union
Q170645,en,2018 FIFA World Cup
Q322943,en,"Paris Peace Treaties, 1947"
Q36756,en,Kristallnacht
Q33570,en,Battle of Grunwald
Q208247,en,La Tène culture
Q851331,en,Battle of Budaörs
Q42534,en,Indus Valley Civilisation
Q170170,en,Ramsar Convention
Q697654,en,Siege of Buda (1686)
Q622844,en,Treaty of Nagyvárad
Q10806,en,September 11 attacks
Q132689,en,Casablanca (film)
Q105206,en,Bukovina
Q165755,en,Treaty of Bucharest (1918)
